Ground,Ground Link,Country,Lat,Lon
Melbourne,/ci/content/ground/56441.html,Australia,-37.8200,144.9834
Adelaide,/ci/content/ground/56293.html,Australia,-34.9155,138.5961
Sydney,/ci/content/ground/56544.html,Australia,-33.8915,151.2249
Wellington,/ci/content/ground/58895.html,New Zealand,-41.3004,174.7803
Brisbane,/ci/content/ground/56336.html,Australia,-27.4858,153.0381
Perth,/ci/content/ground/56490.html,Australia,-31.9505,115.8605
Kingston,/ci/content/ground/59458.html,West Indies,18.0179,-76.8099
Georgetown,/ci/content/ground/59447.html,West Indies,6.8082,-58.1498
Port of Spain,/ci/content/ground/59475.html,West Indies,10.6667,-61.5189
Bridgetown,/ci/content/ground/59429.html,West Indies,13.1132,-59.5988
St John's,/ci/content/ground/59495.html,West Indies,17.1274,-61.8468
Colombo (SSC),/ci/content/ground/59308.html,Sri Lanka,6.9064,79.8633
Colombo (RPS),/ci/content/ground/59306.html,Sri Lanka,6.9394,79.8720
Moratuwa,/ci/content/ground/59350.html,Sri Lanka,6.7730,79.8816
Christchurch,/ci/content/ground/58812.html,New Zealand,-43.5345,172.6190
Auckland,/ci/content/ground/58792.html,New Zealand,-36.8750,174.7448
Manchester,/ci/content/ground/57160.html,England,53.4564,-2.2868
Lord's,/ci/content/ground/57129.html,England,51.5298,-0.1722
Nottingham,/ci/content/ground/57219.html,England,52.9361,-1.1327
Leeds,/ci/content/ground/57092.html,England,53.8177,-1.5817
Birmingham,/ci/content/ground/56788.html,England,52.4553,-1.9040
The Oval,/ci/content/ground/57127.html,England,51.4838,-0.1150
Hobart,/ci/content/ground/56407.html,Australia,-42.8713,147.3283
Johannesburg,/ci/content/ground/59120.html,South Africa,-26.1254,28.0544
Cape Town,/ci/content/ground/59068.html,South Africa,-33.9737,18.4689
Durban,/ci/content/ground/59089.html,South Africa,-29.8502,31.0279
Karachi,/ci/content/ground/58956.html,Pakistan,25.1266,67.3595
Rawalpindi,/ci/content/ground/59006.html,Pakistan,33.6514,73.0759
Lahore,/ci/content/ground/58967.html,Pakistan,35.129,74.3361
Delhi,/ci/content/ground/58040.html,India,28.6350,77.2427
Port Elizabeth,/ci/content/ground/59159.html,South Africa,-33.9608,25.6022
Centurion,/ci/content/ground/59079.html,South Africa,-25.8600,28.1955
Chennai,/ci/content/ground/58008.html,India,13.0628,80.2794
Kolkata,/ci/content/ground/57980.html,India,22.5646,88.3433
Bengaluru,/ci/content/ground/57897.html,India,12.9788,77.5998
Peshawar,/ci/content/ground/58988.html,Pakistan,34.0216,71.5784
Kandy,/ci/content/ground/59329.html,Sri Lanka,7.2997,80.6339
Galle,/ci/content/ground/59325.html,Sri Lanka,6.0315,80.2160
Harare,/ci/content/ground/59545.html,Zimbabwe,-17.8141,31.0506
Hamilton,/ci/content/ground/58831.html,New Zealand,-37.7867,175.2742
Mumbai,/ci/content/ground/58324.html,India,18.9389,72.8258
Colombo (PSS),/ci/content/ground/59303.html,Sri Lanka,6.9189,79.8839
Sharjah,/ci/content/ground/59392.html,United Arab Emirates,25.3252,55.4192
Darwin,/ci/content/ground/56390.html,Australia,-12.4005,130.8835
Cairns,/ci/content/ground/56362.html,Australia,-16.9358,145.7492
Nagpur,/ci/content/ground/58344.html,India,24.0927,87.6398
Fatullah,/ci/content/ground/56667.html,Bangladesh,23.8041,90.3581
Chattogram,/ci/content/ground/56658.html,Bangladesh,22.3535,91.7674
North Sound,/ci/content/ground/208543.html,West Indies,17.1029,-61.7849
Mohali,/ci/content/ground/57991.html,India,30.6909,76.7375
Cardiff,/ci/content/ground/56874.html,England,51.4873,-3.1915
Pallekele,/ci/content/ground/434211.html,Sri Lanka,7.2807,80.7225
Roseau,/ci/content/ground/59480.html,West Indies,15.3019,-61.3842
Hyderabad (Deccan),/ci/content/ground/58142.html,India,17.4065,78.5505
Chester-le-Street,/ci/content/ground/56901.html,England,54.8496,-15608
Dubai (DSC),/ci/content/ground/392627.html,United Arab Emirates,25.0467,55.2189
Abu Dhabi,/ci/content/ground/59396.html,United Arab Emirates,24.3966,54.5408
Pune,/ci/content/ground/545380.html,India,18.5196,73.8554
Ranchi,/ci/content/ground/485865.html,India,23.3102,85.2748
Dharamsala,/ci/content/ground/58056.html,India,31.1976,76.3258
Dhaka,/ci/content/ground/236761.html,Bangladesh,23.8059,90.3642
Perth,/ci/content/ground/1126475.html,Australia,-31.9598,115.8796
Canberra,/ci/content/ground/56370.html,Australia,-35.3181,149.1347
