Country,Date,Name,Runs,Balls,Batsman Profile
New Zealand,Feb 25-28 1993,MJ Greatbatch,4,3,https://www.espncricinfo.com/ci/content/player/37105.html
New Zealand,Feb 25-28 1993,JG Wright,39,201,https://www.espncricinfo.com/ci/content/player/38757.html
New Zealand,Feb 25-28 1993,AH Jones,8,18,https://www.espncricinfo.com/ci/content/player/37491.html
New Zealand,Feb 25-28 1993,MD Crowe (c),15,80,https://www.espncricinfo.com/ci/content/player/36622.html
New Zealand,Feb 25-28 1993,KR Rutherford,57,81,https://www.espncricinfo.com/ci/content/player/38258.html
New Zealand,Feb 25-28 1993,CL Cairns,0,5,https://www.espncricinfo.com/ci/content/player/36597.html
New Zealand,Feb 25-28 1993,AC Parore †,6,34,https://www.espncricinfo.com/ci/content/player/38117.html
New Zealand,Feb 25-28 1993,DN Patel,35,64,https://www.espncricinfo.com/ci/content/player/38118.html
New Zealand,Feb 25-28 1993,ML Su'a,0,7,https://www.espncricinfo.com/ci/content/player/38409.html
New Zealand,Feb 25-28 1993,DK Morrison,4,22,https://www.espncricinfo.com/ci/content/player/37730.html
New Zealand,Feb 25-28 1993,MB Owens,0,5,https://www.espncricinfo.com/ci/content/player/38066.html
