Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Pakistan,Oct 5-9 1994,CJ McDermott,33,3,86,2,https://www.espncricinfo.com/ci/content/player/6551.html
Pakistan,Oct 5-9 1994,DW Fleming,26,2,86,3,https://www.espncricinfo.com/ci/content/player/5239.html
Pakistan,Oct 5-9 1994,J Angel,28,1,124,1,https://www.espncricinfo.com/ci/content/player/3975.html
Pakistan,Oct 5-9 1994,ME Waugh,16,1,63,2,https://www.espncricinfo.com/ci/content/player/8189.html
Pakistan,Oct 5-9 1994,SK Warne,25,6,56,0,https://www.espncricinfo.com/ci/content/player/8166.html
Pakistan,Oct 5-9 1994,MG Bevan,4,0,27,0,https://www.espncricinfo.com/ci/content/player/4144.html
Pakistan,Oct 5-9 1994,SR Waugh,13,2,41,0,https://www.espncricinfo.com/ci/content/player/8192.html
Pakistan,Oct 5-9 1994,MJ Slater,1.1,0,4,1,https://www.espncricinfo.com/ci/content/player/7629.html
Pakistan,Oct 5-9 1994,DC Boon,3,1,9,0,https://www.espncricinfo.com/ci/content/player/4169.html
Pakistan,Oct 5-9 1994,MA Taylor,3,1,11,1,https://www.espncricinfo.com/ci/content/player/7924.html
